SynthsXTZ,Synth,0x6E5Bc3e877CFaa06eF97dfA12e63EfbB8FCbb03e
TokenStateSynthetix,TokenState,0x5b1b5fEa1b99D83aD479dF0C222F0492385381dD
TokenStateXDR,TokenState,0xBF093390d8046ae2d0f5465DEC7001d65DC159d5
TokenStateiBNB,TokenState,0xc4E4c442653fDC78A71401684fd6cF9d67B3B643
TokenStateiBTC,TokenState,0xa1652766155D4Debc31D01BF3f748cB46508745b
TokenStateiCEX,TokenState,0x3Fb1F228168432688b4E851Fe909907248cf9eCD
TokenStateiETH,TokenState,0x7b6ab32Ca02B31485fbf7265437c2853792CC5d9
TokenStateiMKR,TokenState,0xa0c19218271F056bc10b1cDd7a5FaB48F757BC86
TokenStateiTRX,TokenState,0xd69EabdF940174cA571A6D71dde9B9A4dbCdBb0f
TokenStateiXTZ,TokenState,0xca0d3004f5E771A129fB94619f8867A23e8A23de
TokenStatesAUD,TokenState,0xCb29D2cf2C65d3Be1d00F07f3441390432D55203
TokenStatesBNB,TokenState,0xf9bd94C6F93c1FA5F38174c5e424721e1046af07
TokenStatesBTC,TokenState,0x4F6296455F8d754c19821cF1EC8FeBF2cD456E67
TokenStatesCEX,TokenState,0xc5680d24C3086e10f618b5176A59E90D6284be9f
TokenStatesCHF,TokenState,0x52496fE8a4feaEFe14d9433E00D48E6929c13deC
TokenStatesETH,TokenState,0x34A5ef81d18F3a305aE9C2d7DF42beef4c79031c
TokenStatesEUR,TokenState,0x6568D9e750fC44AF00f857885Dfb8281c00529c4
TokenStatesGBP,TokenState,0x7e88D19A79b291cfE5696d496055f7e57F537A75
TokenStatesJPY,TokenState,0x4dFACfB15514C21c991ff75Bc7Bf6Fb1F98361ed
TokenStatesMKR,TokenState,0xCEE0A0Dc7f393ED6AC84A3Ac2191C28d6A53AcEf
TokenStatesTRX,TokenState,0x7EC5697C724895DA7f2320bDE063BEF6215a72e2
TokenStatesUSD,TokenState,0x05a9CBe762B36632b3594DA4F082340E0e5343e8
TokenStatesXAG,TokenState,0x53d244Fb46357568DBeF082225cCC87cBD94aAE8
TokenStatesXAU,TokenState,0x20569B49d74c1EDE765382574F7F3fdC2a078A4f
TokenStatesXTZ,TokenState,0x959894a82fbF99d35B12ed1EA81e783296229862
LegacyDepotFeePool,FeePool,0xEBdBac38835A1105851e80C7Fa1f1E6e25A86e32
LegacyDepotFeePoolFeeAuthority,,0xfee056F4d9D63a63d6CF16707d49FfaE7Ff3fF01
LegacyDepotSynthetix,Synthetix,0x3772f9716Cf6D7a09edE3587738AA2af5577483a
LegacyDepotExchangeRate,ExchangeRates,0xba34e436C9383aa8FA1e3659D2807ae040592498
LegacySynthFeePool,FeePool,0x5e5F5542dAd3E06CC8E1cd2461E83f872835117B
LegacySynthSynthetix,Synthetix,0xbD88D2Ddf55b65BDBbA6f6a5A626B854835d7844
LegacyGBPExchangeRates,ExchangeRates,0x5cBB53Ca85A9E52B593Baf8ae90282C4B3dB0b25
Oracle,,0xaC1ED4Fabbd5204E02950D68b6FC8c446AC95362
DepotFundsWallet,,0xA15184A8C8c3f47a8b54572cDCcB30358Abfb7A1
DepotOracle,,0xde9070694FE0B7FCCD93f7ef42304251F1c8ADd3
FeeAddress,,0xfeEFEEfeefEeFeefEEFEEfEeFeefEEFeeFEEFEeF
XDRSelfDestructBeneficiary,,0xeA5e288b4f9d7e66DA162E2Af0dB371783f62454
SynthSelfDestructBeneficiary,,0xf2827848dbEE5D46E9C7c4c3f5E197E3af811105
CEXSelfDestructBeneficiary,,0xe88aDA0408F187C17EedD256A0495d8E3766AAc4
CHFSelfDestructBeneficiary,,0xaF28CEC7854e9a070F4cD31F18bA005F874d9F50
FeePoolSelfDestructBeneficiary,,0xB64fF7a4a33Acdf48d97dab0D764afD0F6176882
ExchangeRatesSelfDestructBeneficiary,,0xaf04542302CA11896AE9Dd5Ad2Cf66E7AF8fb1b8
LegacyDepotSynthetixSelfDestructBeneficiary,,0xde91067660f6e19ae03FBA96D6926A0897b5f5be
SystemOwner,,0xb0A23F40De7F776A4f20153e8995eD3E7D7c8487
