Address,Staked Balance,Owed sUSD,Readable Staked Balance,Readable Owed sUSD
0x9efab36288565dC343b6909350767cb392AA4F69,839894220961399929420,242009615313654031020868,839.89422096139992942,242009.615313654031020868
0x6fcF92925e0281D957B0076d3751caD76916C96B,109317729096252290817,31499135135449550945313,109.317729096252290817,31499.135135449550945313
0xFE7E6564a8B820E2e7363c5460EdEC4CC7743FAa,8723295894485937021,2513556387225984516463,8.723295894485937021,2513.556387225984516463
0x214F7b85a0f0aa067BCC2Ea6263dD4b0Ede8957C,10160277303211110024,2927612478170839779311,10.160277303211110024,2927.612478170839779311
0xfC9e7d92E48D1431AcE73dF02515383a4a92C950,37456321410041213175,10792775696363862986646,37.456321410041213175,10792.775696363862986646
0x15269f4A2Ce8c71b625B501EAaF7178370F9d55b,817721717608603818,235620764345244401671,0.817721717608603818,235.620764345244401671
0xB28397E0e9a9CD849A30AF694f46765310274aF5,196367273557916029137,56581849413780391646141,196.367273557916029137,56581.849413780391646141
0xD9d3dd56936F90ea4c7677F554dfEFD45eF6Df0F,4189103683241020670,1207060776927006921684,4.18910368324102067,1207.060776927006921684
0x07E836E86f212229C5C4cea8Fc556EcA87cfab64,111116047017756780097,32017307802356081354785,111.116047017756780097,32017.307802356081354785
0x1EBb814C9EF016E6012bE299ED834f1dDcEd1529,1098165673484553256823,316428718709889424544151,1098.165673484553256823,316428.718709889424544151
0x63ba32D92bd5113A7e5602E9Bc1a3a12E4373725,4913309999999999478,1415735735930699849588,4.913309999999999478,1415.735735930699849588
0xa7b6f7f3e3AA2D9D33249E755F62d7e5AE19Ef13,992000000000000000000,285837826240000000000000,992,285837.82624
0xe51b3d74B9e8203B5e817e691a5D0d7F00898FBd,71870802366291569617,20709066450106280755403,71.870802366291569617,20709.066450106280755403
0x32c16C318804F3E16B644ec0BAD20b230E131928,99999999999999986778,28814296999999996190172,99.999999999999986778,28814.296999999996190172
0xb20bbF11684868a84A6DB18bD1dCc3e1916A599c,253284329936795029,72982099082448031937,0.253284329936795029,72.982099082448031937
0x32CcF7b92ED79bcf506b090F5f1b93c822fAC612,338068690202875029240,97412116459066313464050,338.06869020287502924,97412.11645906631346405
0x751B1D5235aa34Ed5243c57D9313c67AC386EC08,39800000000000000000,11468090206000000000000,39.8,11468.090206
0xFadAFCE89EA2221fa33005640Acf2C923312F2b9,252155436052384688579,72656816245779199749677,252.155436052384688579,72656.816245779199749677
0xf9DD512fE8078117827eDFFa116eb992B4CCdc50,11362919336503622254,3274145325490583132025,11.362919336503622254,3274.145325490583132025
0xB082dDFD74748b763F52F04558e5F814A56de67A,77221082047465267409,22250711927770323123073,77.221082047465267409,22250.711927770323123073
0xeE8cEaBcF7a59c9961eA9794F5AB15809769Ae01,143655584980336545062,41393346913321563693702,143.655584980336545062,41393.346913321563693702
0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d,1886441809898968626,543564945836464219832,1.886441809898968626,543.564945836464219832
0x2d6789c9c3D06F3B8889DD481962839e128B5712,13496679839083241942,3888973413972567410396,13.496679839083241942,3888.973413972567410396
0xb4367aBE9d87C508eceb60c422cBBF8E34Aa8dc9,7453484932929170213,2147669285424461904809,7.453484932929170213,2147.669285424461904809
0xfC5AA02cd9F1edA68F16261eA67aF251A19CCC90,29416987393736830633,8476298116083889776979,29.416987393736830633,8476.298116083889776979
0x2F34ee226e149a1Fe2d03e883DF9544d84c1c47C,1369830740700945899385,394707098022870433258114,1369.830740700945899385,394707.098022870433258114
